Date,Prediction,Lower_Bound,Upper_Bound,Category,Actual
2023-01-02,249.38423697335858,0.0,581.449278027527,NETWORKING EVENT,246.0
2023-01-03,115.23770887063311,0.0,436.85344183310207,Forecast,
2023-01-04,143.6551245547476,0.0,452.2887896936193,SOCIAL GATHERING,576.0
2023-01-05,95.87799463628322,0.0,439.9259341854498,Forecast,
2023-01-06,127.37019400680516,0.0,459.71639570913965,ONLINE LEARNING,6.0
2023-01-07,176.3969568121027,0.0,500.7598268027584,SOCIAL GATHERING,130.0
2023-01-08,168.55844401776417,0.0,508.12185256720124,NETWORKING EVENT,410.0
2023-01-09,141.51884392130623,0.0,493.08865046664374,Forecast,
2023-01-10,152.58634079546783,0.0,454.2649884453673,NETWORKING EVENT,346.0
2023-01-11,189.81015128141297,0.0,520.5326962757928,ONLINE LEARNING,362.0
2023-01-12,206.4886243417613,0.0,541.7156320282877,SOCIAL GATHERING,110.0
2023-01-13,229.8697735790292,0.0,547.7159435370534,Forecast,
2023-01-14,207.8515636436581,0.0,532.1624096100333,Forecast,
2023-01-15,245.54631490789484,0.0,573.7743854168527,NETWORKING EVENT,494.0
2023-01-16,265.21785951514613,0.0,585.6593864921047,Forecast,
2023-01-17,246.13864688876998,0.0,562.8947150602088,NETWORKING EVENT,916.0
2023-01-18,322.10996741781855,0.0,645.4910271474693,NETWORKING EVENT,970.0
2023-01-18,322.10996741781855,0.0,645.4910271474693,SOCIAL GATHERING,582.0
2023-01-19,265.46628638255606,0.0,619.1928976149733,Forecast,
2023-01-20,310.05022609739444,3.7691714531492546,646.6385947227695,Forecast,
2023-01-21,390.75423372185367,76.80165702487179,712.67805613512,ONLINE LEARNING,594.0
2023-01-22,302.49989384409207,0.0,658.1734192914329,Forecast,
2023-01-23,329.6282760097839,0.0,654.1712953747036,Forecast,
2023-01-24,183.32020619523766,0.0,516.2395803992274,Forecast,
2023-01-25,95.25740328681873,0.0,412.3855425811955,NETWORKING EVENT,540.0
2023-01-26,93.91689311457591,0.0,407.6981297885283,Forecast,
2023-01-27,131.04399519034607,0.0,442.1980845849675,Forecast,
2023-01-28,67.2103932844203,0.0,405.86948155699736,Forecast,
2023-01-29,72.37679008136149,0.0,417.2058681613679,Forecast,
2023-01-30,84.59149704963947,0.0,413.82514520847536,Forecast,
2023-01-31,43.78514815774108,0.0,372.8577473302855,ONLINE LEARNING,252.0
2023-02-01,48.747552344475764,0.0,353.9423059340203,Forecast,
2023-02-02,32.493367055524914,0.0,345.9045332887838,Forecast,
2023-02-03,69.62046913115519,0.0,397.8923127659821,Forecast,
2023-02-04,85.51250950864686,0.0,412.6754747143479,Forecast,
2023-02-05,126.30534707669287,0.0,463.4040718765271,ONLINE LEARNING,162.0
2023-02-05,126.30534707669287,0.0,463.4040718765271,SOCIAL GATHERING,390.0
2023-02-06,187.11870246511614,0.0,524.9063380793259,SOCIAL GATHERING,416.0
2023-02-07,122.55958163177303,0.0,433.22856038917575,Forecast,
2023-02-08,147.36161828675654,0.0,477.2024652129057,Forecast,
2023-02-09,123.65059543944567,0.0,430.0549538196352,Forecast,
2023-02-10,160.77769751515413,0.0,476.08045226077985,Forecast,
2023-02-11,204.33564930720166,0.0,531.4638757003517,NETWORKING EVENT,396.0
2023-02-12,139.6015039398203,0.0,476.01538977765796,NETWORKING EVENT,314.0
2023-02-12,139.6015039398203,0.0,476.01538977765796,ONLINE LEARNING,306.0
2023-02-13,139.56635959433208,0.0,476.24371026970874,Forecast,
2023-02-14,126.96084061743656,0.0,458.5798270517984,Forecast,
2023-02-15,144.30603971402593,0.0,472.4838318093557,Forecast,
2023-02-16,120.59501686671778,0.0,433.2176422030079,Forecast,
2023-02-17,235.69062628897333,0.0,541.9937141945494,NETWORKING EVENT,530.0
2023-02-17,235.69062628897333,0.0,541.9937141945494,SOCIAL GATHERING,402.0
2023-02-18,187.5679581449434,0.0,508.02104039319016,Forecast,
